Op 212 / 6340, max bond = 2, latency =    0.00917
Op 213 / 6340, max bond = 2, latency =    0.00913
Op 214 / 6340, max bond = 2, latency =    0.00922
Op 215 / 6340, max bond = 2, latency =    0.00911
Op 216 / 6340, max bond = 2, latency =    0.00916
Op 217 / 6340, max bond = 2, latency =    0.00912
Op 218 / 6340, max bond = 2, latency =    0.00928
Op 219 / 6340, max bond = 2, latency =    0.00916
Op 220 / 6340, max bond = 2, latency =    0.00914
Op 221 / 6340, max bond = 2, latency =    0.00908
Op 222 / 6340, max bond = 2, latency =    0.00916
Op 223 / 6340, max bond = 2, latency =    0.00944
Op 224 / 6340, max bond = 2, latency =    0.00917
Op 225 / 6340, max bond = 2, latency =    0.00953
Op 226 / 6340, max bond = 4, latency =    0.00957
Op 227 / 6340, max bond = 4, latency =    0.00950
Op 228 / 6340, max bond = 4, latency =    0.00911
Op 229 / 6340, max bond = 4, latency =    0.00910
Op 230 / 6340, max bond = 4, latency =    0.00935
Op 231 / 6340, max bond = 4, latency =    0.00915
Op 232 / 6340, max bond = 4, latency =    0.00909
Op 233 / 6340, max bond = 4, latency =    0.00907
Op 234 / 6340, max bond = 4, latency =    0.00917
Op 235 / 6340, max bond = 4, latency =    0.00912
Op 236 / 6340, max bond = 4, latency =    0.00921
Op 237 / 6340, max bond = 4, latency =    0.00913
Op 238 / 6340, max bond = 4, latency =    0.00922
Op 239 / 6340, max bond = 4, latency =    0.00922
Op 240 / 6340, max bond = 4, latency =    0.00926
Op 241 / 6340, max bond = 4, latency =    0.00919
Op 242 / 6340, max bond = 4, latency =    0.00931
Op 243 / 6340, max bond = 4, latency =    0.00931
Op 244 / 6340, max bond = 4, latency =    0.00922
Op 245 / 6340, max bond = 4, latency =    0.00921
Op 246 / 6340, max bond = 4, latency =    0.00925
Op 247 / 6340, max bond = 4, latency =    0.00914
Op 248 / 6340, max bond = 4, latency =    0.00920
Op 249 / 6340, max bond = 4, latency =    0.00916
Op 250 / 6340, max bond = 4, latency =    0.00931
Op 251 / 6340, max bond = 4, latency =    0.00931
Op 252 / 6340, max bond = 4, latency =    0.00951
Op 253 / 6340, max bond = 4, latency =    0.00939
Op 254 / 6340, max bond = 4, latency =    0.00936
Op 255 / 6340, max bond = 4, latency =    0.00933
Op 256 / 6340, max bond = 4, latency =    0.00962
Op 257 / 6340, max bond = 8, latency =    0.00972
Op 258 / 6340, max bond = 8, latency =    0.00969
Op 259 / 6340, max bond = 8, latency =    0.00940
Op 260 / 6340, max bond = 8, latency =    0.00934
Op 261 / 6340, max bond = 8, latency =    0.00942
Op 262 / 6340, max bond = 8, latency =    0.00942
Op 263 / 6340, max bond = 8, latency =    0.00935
Op 264 / 6340, max bond = 8, latency =    0.00938
Op 265 / 6340, max bond = 8, latency =    0.00949
Op 266 / 6340, max bond = 8, latency =    0.00952
Op 267 / 6340, max bond = 8, latency =    0.00949
Op 268 / 6340, max bond = 8, latency =    0.00955
Op 269 / 6340, max bond = 8, latency =    0.00951
Op 270 / 6340, max bond = 8, latency =    0.00959
Op 271 / 6340, max bond = 8, latency =    0.00962
Op 272 / 6340, max bond = 8, latency =    0.00963
Op 273 / 6340, max bond = 8, latency =    0.00962
Op 274 / 6340, max bond = 8, latency =    0.01196
Op 275 / 6340, max bond = 8, latency =    0.01026
Op 276 / 6340, max bond = 8, latency =    0.00958
Op 277 / 6340, max bond = 8, latency =    0.00965
Op 278 / 6340, max bond = 8, latency =    0.00977
Op 279 / 6340, max bond = 8, latency =    0.00964
Op 280 / 6340, max bond = 8, latency =    0.00962
Op 281 / 6340, max bond = 8, latency =    0.00973
Op 282 / 6340, max bond = 8, latency =    0.17314
Op 283 / 6340, max bond = 8, latency =    0.00987
Op 284 / 6340, max bond = 8, latency =    0.00987
Op 285 / 6340, max bond = 8, latency =    0.00976
Op 286 / 6340, max bond = 8, latency =    0.00986
Op 287 / 6340, max bond = 8, latency =    0.00978
Op 288 / 6340, max bond = 8, latency =    0.00977
Op 289 / 6340, max bond = 8, latency =    0.01012
Op 290 / 6340, max bond = 16, latency =    0.01039
Op 291 / 6340, max bond = 16, latency =    0.01043
Op 292 / 6340, max bond = 16, latency =    0.01004
Op 293 / 6340, max bond = 16, latency =    0.01010
Op 294 / 6340, max bond = 16, latency =    0.01020
Op 295 / 6340, max bond = 16, latency =    0.01028
Op 296 / 6340, max bond = 16, latency =    0.01033
Op 297 / 6340, max bond = 16, latency =    0.01033
