84: Gate(gate_type='phase', qubits=(5,), theta=np.float64(1.5707963267948966), beta=0.0)
85: Gate(gate_type='xx_plus_yy', qubits=(4, 5), theta=np.float64(1.5707963267948966), beta=0.0)
86: Gate(gate_type='phase', qubits=(5,), theta=np.float64(-1.5707963267948966), beta=0.0)
87: Gate(gate_type='phase', qubits=(13,), theta=np.float64(1.5707963267948966), beta=0.0)
88: Gate(gate_type='xx_plus_yy', qubits=(12, 13), theta=np.float64(1.5707963267948966), beta=0.0)
89: Gate(gate_type='phase', qubits=(13,), theta=np.float64(-1.5707963267948966), beta=0.0)
90: Gate(gate_type='phase', qubits=(4,), theta=np.float64(-2.356194490192345), beta=0.0)
91: Gate(gate_type='xx_plus_yy', qubits=(3, 4), theta=np.float64(0.7853981633974485), beta=0.0)
92: Gate(gate_type='phase', qubits=(4,), theta=np.float64(2.356194490192345), beta=0.0)
93: Gate(gate_type='phase', qubits=(12,), theta=np.float64(-2.356194490192345), beta=0.0)
94: Gate(gate_type='xx_plus_yy', qubits=(11, 12), theta=np.float64(0.7853981633974485), beta=0.0)
95: Gate(gate_type='phase', qubits=(12,), theta=np.float64(2.356194490192345), beta=0.0)
96: Gate(gate_type='phase', qubits=(3,), theta=np.float64(1.5707963267948966), beta=0.0)
97: Gate(gate_type='xx_plus_yy', qubits=(2, 3), theta=np.float64(1.5707963267948966), beta=0.0)
98: Gate(gate_type='phase', qubits=(3,), theta=np.float64(-1.5707963267948966), beta=0.0)
99: Gate(gate_type='phase', qubits=(11,), theta=np.float64(1.5707963267948966), beta=0.0)
100: Gate(gate_type='xx_plus_yy', qubits=(10, 11), theta=np.float64(1.5707963267948966), beta=0.0)
101: Gate(gate_type='phase', qubits=(11,), theta=np.float64(-1.5707963267948966), beta=0.0)
102: Gate(gate_type='phase', qubits=(2,), theta=np.float64(1.5707963267948966), beta=0.0)
103: Gate(gate_type='xx_plus_yy', qubits=(1, 2), theta=np.float64(1.5707963267948966), beta=0.0)
104: Gate(gate_type='phase', qubits=(2,), theta=np.float64(-1.5707963267948966), beta=0.0)
105: Gate(gate_type='phase', qubits=(10,), theta=np.float64(1.5707963267948966), beta=0.0)
106: Gate(gate_type='xx_plus_yy', qubits=(9, 10), theta=np.float64(1.5707963267948966), beta=0.0)
107: Gate(gate_type='phase', qubits=(10,), theta=np.float64(-1.5707963267948966), beta=0.0)
108: Gate(gate_type='phase', qubits=(7,), theta=np.float64(1.5707963267948966), beta=0.0)
109: Gate(gate_type='xx_plus_yy', qubits=(6, 7), theta=np.float64(1.5707963267948966), beta=0.0)
110: Gate(gate_type='phase', qubits=(7,), theta=np.float64(-1.5707963267948966), beta=0.0)
111: Gate(gate_type='phase', qubits=(15,), theta=np.float64(1.5707963267948966), beta=0.0)
112: Gate(gate_type='xx_plus_yy', qubits=(14, 15), theta=np.float64(1.5707963267948966), beta=0.0)
113: Gate(gate_type='phase', qubits=(15,), theta=np.float64(-1.5707963267948966), beta=0.0)
114: Gate(gate_type='phase', qubits=(6,), theta=np.float64(1.5707963267948966), beta=0.0)
115: Gate(gate_type='xx_plus_yy', qubits=(5, 6), theta=np.float64(1.5707963267948966), beta=0.0)
116: Gate(gate_type='phase', qubits=(6,), theta=np.float64(-1.5707963267948966), beta=0.0)
117: Gate(gate_type='phase', qubits=(14,), theta=np.float64(1.5707963267948966), beta=0.0)
118: Gate(gate_type='xx_plus_yy', qubits=(13, 14), theta=np.float64(1.5707963267948966), beta=0.0)
119: Gate(gate_type='phase', qubits=(14,), theta=np.float64(-1.5707963267948966), beta=0.0)
120: Gate(gate_type='phase', qubits=(5,), theta=np.float64(1.5707963267948966), beta=0.0)
121: Gate(gate_type='xx_plus_yy', qubits=(4, 5), theta=np.float64(1.5707963267948966), beta=0.0)
122: Gate(gate_type='phase', qubits=(5,), theta=np.float64(-1.5707963267948966), beta=0.0)
123: Gate(gate_type='phase', qubits=(13,), theta=np.float64(1.5707963267948966), beta=0.0)
124: Gate(gate_type='xx_plus_yy', qubits=(12, 13), theta=np.float64(1.5707963267948966), beta=0.0)
125: Gate(gate_type='phase', qubits=(13,), theta=np.float64(-1.5707963267948966), beta=0.0)
126: Gate(gate_type='phase', qubits=(4,), theta=np.float64(0.7853981633974483), beta=0.0)
127: Gate(gate_type='xx_plus_yy', qubits=(3, 4), theta=np.float64(0.7853981633974483), beta=0.0)
128: Gate(gate_type='phase', qubits=(4,), theta=np.float64(-0.7853981633974483), beta=0.0)
129: Gate(gate_type='phase', qubits=(12,), theta=np.float64(0.7853981633974483), beta=0.0)
130: Gate(gate_type='xx_plus_yy', qubits=(11, 12), theta=np.float64(0.7853981633974483), beta=0.0)
131: Gate(gate_type='phase', qubits=(12,), theta=np.float64(-0.7853981633974483), beta=0.0)
